76,77,62,64,43,78,32,48,19,11,72,34,43,45,69,42,45,73,16,65,63,68,23,4,39,11,66,4,5,57,80,70,33,17,2,67,23,68,64,22,74,9,43,25,1,59,22,45,52,61,75,54,49,35,61,45,74,21,46,16,1,1,72,74,32,30,42,25,23,76,74,37,59,16,64,12,76,60,2,63,17,64,10,27,72,52,40,56
77,9,58,12,0,70,27,67,75,74,66,1,37,25,30,29,74,76,48,53,50,54,51,57,29,0,76,67,70,74,1,67,39,18,19,18,72,10,29,23,62,35,33,75,26,47,40,46,19,16,3,75,23,71,1,76,31,56,48,40,25,20,19,16,6,8,12,24,44,75,15,75,61,62,78,5,74,22,29,25,70,68,58,77,76,51,11,75
62,58,80,49,45,24,76,54,7,29,27,48,44,8,26,39,79,36,54,45,25,15,65,49,31,43,23,74,10,24,33,24,42,26,46,17,24,49,58,73,10,10,68,43,74,55,21,6,56,59,64,18,35,72,65,70,15,69,75,15,35,33,61,62,40,51,65,6,43,53,1,61,20,78,52,49,51,2,25,55,2,65,53,75,13,33,58,63
64,12,49,42,43,14,36,63,39,35,61,1,80,11,50,5,65,61,64,51,49,59,37,33,72,10,75,66,20,69,13,59,20,70,28,51,74,5,61,56,33,15,51,10,39,26,9,67,17,55,55,30,61,72,40,32,44,55,63,29,51,5,31,27,43,78,16,73,16,9,35,74,77,46,28,24,18,4,56,33,67,15,37,7,22,44,38,47
43,0,45,43,54,1,14,65,71,29,13,19,44,9,68,41,74,7,54,52,27,63,8,21,11,26,56,55,79,29,54,73,61,29,32,24,56,77,40,50,6,23,64,26,44,26,70,73,10,23,28,3,56,2,71,13,9,79,79,42,51,75,28,16,76,55,8,4,1,30,31,0,57,78,53,79,27,35,37,80,14,19,66,7,1,38,52,62
78,70,24,14,1,63,63,19,44,57,38,73,8,25,41,2,57,6,16,34,9,17,73,56,19,57,15,64,24,54,61,21,26,71,7,58,50,29,38,67,36,45,3,52,49,62,79,24,52,66,61,52,75,67,18,11,74,74,66,68,9,12,34,12,13,5,6,7,36,80,67,21,13,2,52,29,49,14,45,79,60,48,34,52,27,3,48,1
32,27,76,36,14,63,53,62,28,51,54,32,76,45,64,78,66,24,1,19,20,79,30,49,32,23,47,11,6,26,58,3,23,43,64,4,71,10,21,17,16,58,79,15,52,44,56,33,60,32,15,13,27,53,51,41,62,43,80,61,17,50,54,10,56,33,62,55,50,60,57,80,3,21,66,17,30,10,50,79,4,13,72,25,68,45,40,33
48,67,54,63,65,19,62,14,16,48,34,50,23,56,36,61,40,33,72,20,56,36,62,13,3,5,18,32,73,40,13,39,2,38,31,55,58,79,64,62,70,55,80,4,40,30,45,54,31,77,40,20,50,67,15,36,74,24,11,61,42,30,35,49,61,34,11,39,18,19,4,50,26,11,53,31,57,29,76,77,22,63,13,80,80,66,73,43
19,75,7,39,71,44,28,16,77,58,40,12,20,79,58,43,72,0,69,46,75,28,23,68,62,65,13,67,65,41,8,63,8,75,49,44,68,39,64,45,34,32,46,13,17,2,17,67,55,74,22,13,56,28,22,55,42,66,50,7,13,65,25,5,7,69,64,52,2,10,30,8,32,29,61,15,52,23,50,24,28,7,19,60,63,45,73,49
11,74,29,35,29,57,51,48,58,1,70,27,49,76,76,17,70,48,64,1,32,60,27,5,10,67,57,62,35,76,80,2,51,0,46,52,25,37,8,20,33,22,49,77,35,68,66,17,79,39,78,75,50,50,68,22,48,57,56,31,54,65,14,13,10,27,13,46,60,72,20,73,74,16,23,72,49,55,26,5,50,67,25,57,69,23,46,60
